CVE,CVSSv2,CVSSv3
CVE-2016-0864,5,5.3
CVE-2016-0865,9,8.8
CVE-2016-0866,4.3,6.1
CVE-2016-0867,7.8,7.5
CVE-2016-0868,10,9.8
CVE-2016-0869,7.1,5
CVE-2016-0871,5,7.5
CVE-2016-0881,4,6.5
CVE-2016-0882,5.5,5.4
CVE-2016-0886,4,4.3
CVE-2016-0931,6.8,8.8
CVE-2016-0932,6.8,8.8
CVE-2016-0933,10,9.8
CVE-2016-0934,6.8,8.8
CVE-2016-0935,6.8,8.8
CVE-2016-0936,9.3,8.8
CVE-2016-0937,9.3,8.8
CVE-2016-0938,9.3,8.8
CVE-2016-0939,6.8,8.8
CVE-2016-0940,10,9.8
CVE-2016-0941,6.8,8.8
CVE-2016-0942,10,9.8
CVE-2016-0943,6.8,8.8
CVE-2016-0944,10,9.8
CVE-2016-0945,10,9.8
CVE-2016-0946,10,9.8
CVE-2016-0947,7.2,7.8
CVE-2016-0948,6.8,8.8
CVE-2016-0949,10,9.8
CVE-2016-0950,5,5.3
CVE-2016-0951,10,9.8
CVE-2016-0952,10,9.8
CVE-2016-0953,10,9.8
CVE-2016-0954,10,9.8
CVE-2016-0955,4.3,6.1
CVE-2016-0956,7.8,7.5
CVE-2016-0957,7.8,7.5
CVE-2016-0958,7.8,7.5
CVE-2016-0960,10,9.8
CVE-2016-0961,10,9.8
CVE-2016-0962,10,9.8
CVE-2016-0963,10,9.8
CVE-2016-0964,10,9.8
CVE-2016-0965,10,9.8
CVE-2016-0966,10,9.8
CVE-2016-0967,10,9.8
CVE-2016-0968,10,9.8
CVE-2016-0969,10,9.8
CVE-2016-0970,10,9.8
CVE-2016-0971,10,9.8
CVE-2016-0972,10,9.8
CVE-2016-0973,9.3,8.8
CVE-2016-0974,10,9.8
CVE-2016-0975,9.3,8.8
CVE-2016-0976,10,9.8
CVE-2016-0977,10,9.8
CVE-2016-0978,10,9.8
CVE-2016-0979,10,9.8
CVE-2016-0980,10,9.8
CVE-2016-0981,10,9.8
CVE-2016-0982,10,9.8
CVE-2016-0983,10,9.8
CVE-2016-0984,10,9.8
CVE-2016-0985,9.3,8.8
CVE-2016-0986,10,9.8
CVE-2016-0987,10,9.8
CVE-2016-0988,10,9.8
CVE-2016-0989,10,9.8
CVE-2016-0990,10,9.8
CVE-2016-0991,10,9.8
CVE-2016-0992,10,9.8
CVE-2016-0993,10,9.8
CVE-2016-0994,9.3,8.8
CVE-2016-0995,10,9.8
CVE-2016-0996,9.3,8.8
CVE-2016-0997,10,9.8
CVE-2016-0998,10,9.8
CVE-2016-0999,10,9.8
CVE-2016-1000,10,9.8
CVE-2016-1001,10,9.8
CVE-2016-1002,10,9.8
CVE-2016-1005,9.3,8.8
CVE-2016-1007,10,9.8
CVE-2016-1008,7.2,8.4
CVE-2016-1009,10,9.8
CVE-2016-1010,10,9.8
CVE-2016-1131,6.8,7.8
CVE-2016-1133,4.3,3.7
CVE-2016-1134,6.8,8.8
CVE-2016-1135,4.3,6.1
CVE-2016-1136,3.5,5.4
CVE-2016-1137,5.8,7.4
CVE-2016-1138,4.3,4.7
CVE-2016-1139,6.8,7.5
CVE-2016-1140,4.3,6.1
CVE-2016-1141,6.5,4.7
CVE-2016-1142,9,9.1
CVE-2016-1143,4.3,6.1
CVE-2016-1144,3.5,5.4
CVE-2016-1145,7.8,7.5
CVE-2016-1149,4.3,6.1
CVE-2016-1150,4.3,6.1
CVE-2016-1151,6.8,8.8
CVE-2016-1152,5.5,5.4
CVE-2016-1153,6.8,6.5
CVE-2016-1154,7.5,9.1
CVE-2016-1156,3.5,5.7
CVE-2016-1157,4.3,6.1
CVE-2016-1158,5.1,8.8
CVE-2016-1160,4.3,6.1
CVE-2016-1167,6.8,8.8
CVE-2016-1168,6.8,8.8
CVE-2016-1169,4.3,6.1
CVE-2016-1170,6.8,8.8
CVE-2016-1171,4.3,6.1
CVE-2016-1172,6.8,8.8
CVE-2016-1173,4.3,6.1
CVE-2016-1174,6.8,8.8
CVE-2016-1175,5.8,4.3
CVE-2016-1176,6.8,6.3
CVE-2016-1177,4.3,6.1
CVE-2016-1231,4.3,5.9
CVE-2016-1232,5,7.5
CVE-2016-1233,7.2,7.8
CVE-2016-1256,5,5.3
CVE-2016-1257,4.3,5.9
CVE-2016-1258,5,5.3
CVE-2016-1260,5,5.3
CVE-2016-1262,4.3,5.9
CVE-2016-1283,7.5,9.8
CVE-2016-1284,2.6,5.9
CVE-2016-1285,4.3,6.8
CVE-2016-1286,5,8.6
CVE-2016-1287,10,9.8
CVE-2016-1288,5,5.3
CVE-2016-1290,5.5,8.1
CVE-2016-1291,9.3,9.8
CVE-2016-1293,4.3,6.1
CVE-2016-1294,4.3,6.1
CVE-2016-1295,5,5.3
CVE-2016-1296,5,7.5
CVE-2016-1297,9,8.8
CVE-2016-1298,4.3,6.1
CVE-2016-1299,5,5.3
CVE-2016-1300,4.3,6.1
CVE-2016-1301,8.5,8.8
CVE-2016-1302,9,8.8
CVE-2016-1303,7.8,7.5
CVE-2016-1304,4.3,6.1
CVE-2016-1305,4.3,6.1
CVE-2016-1306,4.3,6.1
CVE-2016-1307,5.5,5.4
CVE-2016-1308,6.5,6.5
CVE-2016-1309,4.3,6.1
CVE-2016-1310,4.3,6.1
CVE-2016-1311,4.3,6.1
CVE-2016-1312,7.8,7.5
CVE-2016-1313,10,9.8
CVE-2016-1314,3.5,6.1
CVE-2016-1315,5,7.5
CVE-2016-1316,5,5.3
CVE-2016-1317,4,4.3
CVE-2016-1318,4.3,6.1
CVE-2016-1319,5,5.3
CVE-2016-1320,6.8,6.7
CVE-2016-1321,5,5.8
CVE-2016-1322,5,7.5
CVE-2016-1323,4,4.3
CVE-2016-1324,5,5.3
CVE-2016-1325,7.8,7.5
CVE-2016-1326,7.8,7.5
CVE-2016-1327,10,9.8
CVE-2016-1329,10,9.8
CVE-2016-1330,6.1,6.5
CVE-2016-1331,4.3,6.1
CVE-2016-1333,6.8,6.5
CVE-2016-1334,5,5.3
CVE-2016-1335,7.1,7.5
CVE-2016-1338,8,6.5
CVE-2016-1341,6.9,9.8
CVE-2016-1342,5,5.3
CVE-2016-1344,7.1,5.9
CVE-2016-1345,5,7.5
CVE-2016-1346,7.1,5.9
CVE-2016-1347,7.8,7.5
CVE-2016-1348,7.8,7.5
CVE-2016-1349,7.8,7.5
CVE-2016-1350,7.8,7.5
CVE-2016-1351,7.8,7.5
CVE-2016-1353,5,5.3
CVE-2016-1354,4.3,6.1
CVE-2016-1355,4.3,6.1
CVE-2016-1356,4.3,3.7
CVE-2016-1357,5,5.3
CVE-2016-1358,5.5,6.4
CVE-2016-1359,6.5,8.8
CVE-2016-1360,3,7.1
CVE-2016-1361,4.6,5.3
CVE-2016-1366,6.8,6.5
CVE-2016-1488,4.3,6.1
CVE-2016-1489,4.3,8
CVE-2016-1490,2.7,4.1
CVE-2016-1491,5.4,8.8
CVE-2016-1492,2.9,6.1
CVE-2016-1493,7.6,7.5
CVE-2016-1494,5,5.3
CVE-2016-1498,4.3,6.1
CVE-2016-1499,7.5,8.5
CVE-2016-1500,3.5,3.1
CVE-2016-1501,4,4.3
CVE-2016-1505,7.5,10
CVE-2016-1521,6.8,8.8
CVE-2016-1522,9.3,8.8
CVE-2016-1523,4.3,6.5
CVE-2016-1524,8.3,9.6
CVE-2016-1525,7.8,8.6
CVE-2016-1526,5.8,8.1
CVE-2016-1562,4,4.3
CVE-2016-1565,3.5,6.1
CVE-2016-1567,6.8,8.1
CVE-2016-1569,4,6.5
CVE-2016-1570,6.9,8.5
CVE-2016-1571,4.7,6.3
CVE-2016-1572,4.6,8.4
CVE-2016-1599,4.3,6.1
CVE-2016-1612,6.8,7.6
CVE-2016-1613,6.8,7.6
CVE-2016-1614,4.3,4.3
CVE-2016-1615,4.3,6.5
CVE-2016-1616,4.3,4.3
CVE-2016-1617,4.3,4.3
CVE-2016-1618,4.3,6.5
CVE-2016-1619,6.8,7.6
CVE-2016-1620,9.3,8.8
CVE-2016-1621,10,9.8
CVE-2016-1622,6.8,8.8
CVE-2016-1623,6.8,8.8
CVE-2016-1624,6.8,8.8
CVE-2016-1625,4.3,4.3
CVE-2016-1626,4.3,4.3
CVE-2016-1627,6.8,8.8
CVE-2016-1628,6.8,6.3
CVE-2016-1629,10,9.8
CVE-2016-1630,6.8,8.8
CVE-2016-1631,6.8,8.8
CVE-2016-1632,6.8,8.8
CVE-2016-1633,10,9.8
CVE-2016-1634,9.3,8.8
